tconst,parentTconst,seasonNumber,episodeNumber
tt28025049,tt11031748,1.0,21.0
tt28025051,tt11031748,1.0,22.0
tt28025052,tt11031748,1.0,23.0
tt28025053,tt22393540,1.0,223.0
tt28025054,tt11031748,1.0,24.0
tt28025056,tt11031748,1.0,25.0
tt28025057,tt11031748,1.0,26.0
tt28025058,tt11031748,1.0,27.0
tt2802506,tt1019987,,
tt28025060,tt11031748,1.0,28.0
tt28025061,tt0190169,1.0,60.0
tt28025062,tt11031748,1.0,29.0
tt28025063,tt11031748,1.0,30.0
tt28025065,tt11031748,1.0,32.0
tt28025066,tt11031748,1.0,31.0
tt28025067,tt11031748,1.0,33.0
tt28025069,tt11031748,1.0,36.0
tt28025070,tt11031748,1.0,35.0
tt28025071,tt11031748,1.0,34.0
tt28025073,tt11031748,1.0,37.0
tt28025074,tt22393540,1.0,224.0
tt28025075,tt11031748,1.0,38.0
tt28025076,tt11031748,1.0,39.0
tt28025077,tt11031748,1.0,40.0
tt28025078,tt11031748,1.0,41.0
tt2802508,tt1019987,,
tt28025080,tt22393540,1.0,225.0
tt28025081,tt11031748,1.0,42.0
tt28025082,tt11031748,1.0,43.0
tt28025083,tt11031748,1.0,44.0
tt28025084,tt3787912,11.0,5.0
tt28025085,tt11031748,1.0,45.0
tt28025086,tt11031748,1.0,46.0
tt28025087,tt11031748,1.0,47.0
tt28025089,tt11031748,1.0,48.0
tt28025090,tt22393540,1.0,226.0
tt28025091,tt11031748,1.0,49.0
tt28025092,tt11031748,1.0,50.0
tt28025093,tt11031748,1.0,52.0
tt28025094,tt11031748,1.0,51.0
tt28025096,tt11031748,1.0,53.0
tt28025097,tt11031748,1.0,54.0
tt28025098,tt11031748,1.0,55.0
tt28025099,tt9869316,1.0,4.0
tt2802510,tt1019987,,
tt28025100,tt9869316,1.0,5.0
tt28025102,tt9869316,1.0,6.0
tt28025103,tt9869316,1.0,7.0
tt28025104,tt9869316,1.0,8.0
tt28025106,tt9869316,1.0,9.0
tt28025107,tt9869316,1.0,10.0
tt28025108,tt9869316,1.0,11.0
tt28025109,tt9869316,1.0,12.0
tt28025111,tt9869316,1.0,13.0
tt28025113,tt9869316,1.0,14.0
tt28025114,tt9869316,1.0,15.0
tt28025115,tt9869316,1.0,16.0
tt28025116,tt9869316,1.0,17.0
tt28025117,tt9869316,1.0,18.0
tt28025118,tt9869316,1.0,19.0
tt2802512,tt1019987,,
tt28025120,tt9869316,1.0,20.0
tt28025121,tt9869316,1.0,21.0
tt28025122,tt9869316,1.0,23.0
tt28025123,tt9869316,1.0,22.0
tt28025124,tt9869316,1.0,24.0
tt28025126,tt9869316,1.0,26.0
tt28025127,tt9869316,1.0,25.0
tt28025128,tt9869316,1.0,27.0
tt28025129,tt9869316,1.0,28.0
tt28025130,tt9869316,1.0,29.0
tt28025131,tt9869316,1.0,30.0
tt28025132,tt9869316,1.0,31.0
tt28025133,tt9869316,1.0,32.0
tt28025134,tt9869316,1.0,33.0
tt28025135,tt13105836,6.0,4.0
tt28025136,tt9869316,1.0,34.0
tt28025138,tt9869316,1.0,35.0
tt28025139,tt9869316,1.0,36.0
tt2802514,tt1019987,,
tt28025140,tt9869316,1.0,37.0
tt28025142,tt9869316,1.0,38.0
tt28025143,tt9869316,1.0,39.0
tt28025145,tt9869316,1.0,41.0
tt28025146,tt9869316,1.0,40.0
tt28025147,tt9869316,1.0,42.0
tt28025148,tt9869316,1.0,43.0
tt28025149,tt9869316,1.0,44.0
tt28025150,tt13105836,6.0,5.0
tt28025151,tt10868496,1.0,5.0
tt28025152,tt9869316,1.0,45.0
tt28025153,tt10868496,1.0,6.0
tt28025154,tt10868496,1.0,7.0
tt28025155,tt13105836,6.0,6.0
tt28025156,tt10868496,1.0,8.0
tt28025157,tt10868496,1.0,9.0
tt28025158,tt10868496,1.0,10.0
tt28025159,tt10868496,1.0,11.0
tt2802516,tt1019987,,
tt28025160,tt10868496,1.0,12.0
tt28025161,tt10868496,1.0,13.0
tt28025162,tt10868496,1.0,14.0
tt28025163,tt10868496,1.0,16.0
tt28025164,tt10868496,1.0,15.0
tt28025165,tt8171352,8.0,8.0
tt28025166,tt10868496,1.0,17.0
tt28025167,tt13105836,6.0,7.0
tt28025168,tt10868496,1.0,18.0
tt28025169,tt10868496,1.0,19.0
tt28025170,tt10868496,1.0,20.0
tt28025171,tt10868496,1.0,21.0
tt28025172,tt10868496,1.0,22.0
tt28025173,tt10868496,1.0,23.0
tt28025174,tt10868496,1.0,24.0
tt28025175,tt10868496,1.0,25.0
tt28025176,tt10868496,1.0,26.0
tt28025177,tt8171352,8.0,9.0
tt28025179,tt8171352,8.0,10.0
tt2802518,tt1019987,,
tt28025182,tt16410230,,
tt28025185,tt15433166,2.0,9.0
tt28025186,tt15433166,2.0,10.0
tt2802520,tt1019987,,
tt2802522,tt1019987,,
tt2802526,tt1019987,,
tt2802528,tt1019987,,
