titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt13685126,5,Episodio #11.108,IT,it,,,0
tt13685126,6,Folge #11.108,DE,de,,,0
tt13685126,7,エピソード #11.108,JP,ja,,,0
tt13685126,8,Episodio #11.108,ES,es,,,0
tt13685128,1,Episode #11.110,,,original,,1
tt13685128,2,Episódio #11.110,PT,pt,,,0
tt13685128,3,एपिसोड #11.110,IN,hi,,,0
tt13685128,4,Épisode #11.110,FR,fr,,,0
tt13685128,5,Episodio #11.110,IT,it,,,0
tt13685128,6,Folge #11.110,DE,de,,,0
tt13685128,7,エピソード #11.110,JP,ja,,,0
tt13685128,8,Episodio #11.110,ES,es,,,0
tt1368513,1,Thea Vidale: Ready for the World,,,original,,1
tt13685132,1,Episode #11.109,,,original,,1
tt13685132,2,Episódio #11.109,PT,pt,,,0
tt13685132,3,एपिसोड #11.109,IN,hi,,,0
tt13685132,4,Épisode #11.109,FR,fr,,,0
tt13685132,5,Episodio #11.109,IT,it,,,0
tt13685132,6,Folge #11.109,DE,de,,,0
tt13685132,7,エピソード #11.109,JP,ja,,,0
tt13685132,8,Episodio #11.109,ES,es,,,0
tt13685134,1,Episode #11.111,,,original,,1
tt13685134,2,Episódio #11.111,PT,pt,,,0
tt13685134,3,एपिसोड #11.111,IN,hi,,,0
tt13685134,4,Épisode #11.111,FR,fr,,,0
tt13685134,5,Episodio #11.111,IT,it,,,0
tt13685134,6,Folge #11.111,DE,de,,,0
tt13685134,7,エピソード #11.111,JP,ja,,,0
tt13685134,8,Episodio #11.111,ES,es,,,0
tt13685136,1,Episode #11.112,,,original,,1
tt13685136,2,Episódio #11.112,PT,pt,,,0
tt13685136,3,एपिसोड #11.112,IN,hi,,,0
tt13685136,4,Épisode #11.112,FR,fr,,,0
tt13685136,5,Episodio #11.112,IT,it,,,0
tt13685136,6,Folge #11.112,DE,de,,,0
tt13685136,7,エピソード #11.112,JP,ja,,,0
tt13685136,8,Episodio #11.112,ES,es,,,0
tt13685138,1,Episode #12.42,,,original,,1
tt13685138,2,Episódio #12.42,PT,pt,,,0
tt13685138,3,एपिसोड #12.42,IN,hi,,,0
tt13685138,4,Épisode #12.42,FR,fr,,,0
tt13685138,5,Episodio #12.42,IT,it,,,0
tt13685138,6,Folge #12.42,DE,de,,,0
tt13685138,7,エピソード #12.42,JP,ja,,,0
