nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm11047241,Janne Hietanen,,,,tt11092468
nm11047242,H.L. Sheridan,,,sound_department,tt11097900
nm11047243,Denis Komljenovic,,,"editorial_department,camera_department,cinematographer","tt5534588,tt9184982,tt1492179,tt15744240"
nm11047244,Nicholas Zaczek,,,"camera_department,director,actor","tt11167860,tt12832102,tt11097908"
nm11047246,Liam Tattersall,,,"writer,producer",tt11097908
nm11047247,Jack Block,,,,tt11097908
nm11047248,Amy Fallan,,,"cinematographer,camera_department,editor",tt11097908
nm11047249,Christopher Olley,,,"camera_department,miscellaneous",tt11097908
nm1104725,Daniel Bogdanovich,,,make_up_department,tt0199389
nm11047250,David Mansour,,,"camera_department,cinematographer,editorial_department","tt15715506,tt4771764,tt11097908"
nm11047251,Eduardo Castro,,,sound_department,tt11097908
nm11047252,Jordan Ammunson,,,miscellaneous,tt11097908
nm11047253,Luci Reign,,,actress,"tt4267270,tt4461794"
nm11047254,Javier Valles,,,"animation_department,visual_effects",tt9422468
nm11047255,Alberto Also,,,animation_department,tt9422468
nm11047256,Victor del Rio,,,"animation_department,visual_effects","tt9422468,tt7655460"
nm11047257,Sergio Linares Giménez,,,"visual_effects,animation_department",tt9422468
nm11047258,Alex Aznar Samperi,,,animation_department,tt9422468
nm11047259,Joel Ronsvalle,,,animation_department,"tt6854966,tt15467046,tt8512986,tt9422468"
nm1104726,Aldo Boggio,,,"art_department,art_director","tt0219449,tt0371029"
nm11047260,Emanuel Aguado Perez,,,"visual_effects,animation_department",tt9422468
nm11047261,Andrea Garcia Aviño,,,"visual_effects,miscellaneous",tt9422468
nm11047262,Sara Miquel Monllor,,,"visual_effects,miscellaneous",tt9422468
nm11047263,Marcial Cruz,,,"animation_department,visual_effects","tt7655460,tt9422468"
nm11047264,Katia Rabadan,,,"visual_effects,animation_department",tt9422468
nm11047265,Sergio Chordá,,,visual_effects,tt9422468
nm11047266,Eneas Ribelles,,,"visual_effects,animation_department",tt9422468
nm11047268,Dora Klepo,,,sound_department,tt11081292
nm11047269,Ema Dobrota,,,script_department,tt11081292
nm1104727,M. Bogoyavlensky,,,assistant_director,tt0028022
nm11047270,Tomislav Brdjanovic,,,"director,writer,cinematographer","tt16246470,tt7264662,tt11081292"
nm11047271,Petri Rusanen,,,art_department,tt8406934
nm11047272,Jelo Guevara,,,,tt0344642
nm11047273,Jimmy Elauria,,,,tt0344642
nm11047274,Katariina Kivinen,,,"miscellaneous,art_department,costume_department","tt15141690,tt8406934,tt19019370,tt13650312"
nm11047275,Kanerva Kumpulainen,,,"art_department,costume_department,make_up_department","tt15141690,tt8406934"
nm11047276,Birgitta Teeriaho,,,art_department,tt8406934
nm11047277,Samu Mähönen,,,art_department,tt8406934
nm11047278,Rasmus Bergdahl,,,miscellaneous,tt8406934
nm11047279,Xina,,,,tt7636626
nm1104728,Miri Bohadana,1977.0,,actress,"tt0289730,tt0163138,tt1221239,tt0305010"
nm11047280,Jierui Shao,,,actor,"tt34242303,tt17507036,tt36831915,tt9844988"
nm11047281,Daniel Gilbert,,,sound_department,tt0108678
nm11047282,Bengt Goldman,,,actor,tt11097958
nm11047283,Arie Eisenberg,,,actor,tt11097958
nm11047284,Jessica Rose,,,actress,
nm11047286,Roxy,,,"actress,archive_footage",tt9501928
nm11047287,Rachael Venables,,,miscellaneous,"tt3644198,tt21960846,tt11475502,tt11833964"
nm11047288,Clare Stokes,,,miscellaneous,"tt3644198,tt21921074"
nm11047289,Lutz Cassel,,,,tt0459688
nm1104729,Benjamin Boisvert,,,art_department,"tt0245238,tt0313300,tt0304328,tt0211103"
nm11047290,Edi,,,actor,tt8406934
nm11047291,Ällä,,,actor,tt8406934
nm11047292,A'Nya Harrison,,,producer,tt11416066
nm11047293,Joel Harding,,,actor,"tt10989790,tt11737180,tt11163060,tt11000362"
nm11047294,Megan Barnett,,,"set_decorator,sound_department","tt10989790,tt11163060"
nm11047295,Matthew Cooper,,,miscellaneous,tt10989790
nm11047296,Marnix Lenselink,,,,"tt1388820,tt11050862"
nm11047298,Jimmy Lee Rissanen,,,actor,tt8406934
nm11047299,Jarkko Mattila,,,actor,"tt14096946,tt8406934,tt8338940,tt8960062"
nm1104730,Jonathan Boisvert,,,"miscellaneous,visual_effects,art_department","tt4978420,tt0945513,tt10872600,tt14539740"
nm11047300,James McCreddie,,,"director,cinematographer",tt11097998
nm11047302,Frederique Brunet,,,actress,tt0940900
nm11047303,London Loy,,,,"tt0261470,tt11050862,tt33041616,tt33044947"
nm11047304,Jim Morris,,,editorial_department,tt5565634
nm11047305,Daron Johnson,,,music_department,tt5565634
nm11047306,Dave Malrer,,,production_manager,tt5565634
nm11047307,Isaac Mirrahi,,,production_manager,tt5565634
nm11047308,Jerry Cornish,,,,
nm11047309,Abby Broyles,,,,tt0476038
nm1104731,Jim Boitnott,,,"composer,sound_department","tt1082813,tt2108531,tt0938292,tt1089706"
nm11047310,Deneida Hattenhauer,,,,
nm11047311,Jeremy Ring,,,actor,tt5565634
nm11047312,Steve Shaw,,,,
nm11047313,Crystal Wilson,,,,
nm11047314,Wes Heupel,,,,
nm11047315,Ray Poland,,,,
nm11047316,Carlton Taylor,,,,
nm11047317,Mark Fisher,,,,
nm11047319,Ramona Gaberman-Rowe,,,actress,tt26770314
nm1104732,Sabine Bolenius,,,"production_manager,location_management","tt0806910,tt0806901,tt0118378,tt0220933"
nm11047320,Guia Isabella Avessani,,,,
nm11047321,Bridget Morris,,,,
nm11047322,Mark Weinger,,,,
nm11047323,Alex Lohmann,,,,
nm11047324,Anthony Patton,,,miscellaneous,tt5565634
nm11047325,Sarah Black,,,miscellaneous,tt5565634
nm11047326,Lauren Lindauer,,,miscellaneous,tt5565634
nm11047327,Stuart Hatton,,,,"tt0959790,tt0820392"
nm11047328,Ilmari Kujansuu,,,actor,"tt11861938,tt9837320,tt13340532"
nm11047329,Tom Fazakerley,,,miscellaneous,tt0479832
nm1104733,Cecil Bolton,,,"music_department,soundtrack",
nm11047331,Pecky Muschietti,,,actress,"tt0109135,tt8478894"
nm11047333,Jericho,,,,
nm11047334,Tor Fr. Dave Pivonka,,,writer,tt11098060
nm11047335,Tor Sr. Catherine Caldwell,,,,tt11098060
nm11047336,Raniero Cantalamessa,,,,"tt14878502,tt11098060,tt22660470,tt20122422"
nm11047337,Tor Fr. Michael Higgins,,,,tt11098060
nm11047338,Mother Olga of the Sacred Heart,,,,tt11098060
nm11047339,Philip Martin,,,writer,tt11098060
nm1104734,André Bombardier,,,miscellaneous,tt0245238
nm11047346,Peter Kabat,,,,
nm11047348,Michael Guerin,,,,tt6518878
nm11047349,Vinicius Pires,,,editor,tt11098088
nm1104735,Alex Bondarchuk,1987.0,,actor,tt0168563
nm11047350,Guilherme Herrera Falchi,,,"editor,writer,camera_department","tt13214248,tt26936534,tt11098088,tt14444378"
nm11047351,Ineke Boersma,,,"cinematographer,director","tt9703928,tt8903108,tt8903110"
nm11047352,Mark Dizon,,,"cinematographer,script_department,miscellaneous","tt10912116,tt26996765,tt28335685"
nm11047353,Summer Fitzpatrick,,,actress,tt8506920
nm11047354,Anthony Francis,,,actor,tt11086912
nm11047356,Christian Kamphuis,,,stunts,tt8406934
nm11047357,Victor Cruz,,,,
nm11047358,Sarah A. Levesque,,,actress,"tt27146909,tt16225146,tt21808662,tt11086912"
nm11047359,Charles J. Guthy,,,actor,tt11086912
nm1104736,Vincent Bonnafous,,,actor,"tt0274181,tt0369354"
nm11047360,Taryn McDonough,,,actor,tt11086912
nm11047361,Sergey Sofroniev,,,actor,tt10944822
nm11047362,Andrean Panov,,,actor,"tt12681838,tt10944822"
nm11047363,Davyan Kavaldjiev,,,actor,tt10944822
nm11047364,Ivan Grigorov,,,actor,tt10944822
nm11047365,Galya Sarafova,,,actress,tt10944822
nm11047368,Jin Da Wang,,,actor,tt4940366
nm11047369,Sin Yang Ming,,,actor,tt4940366
nm1104737,Latif Borgiba,,,actor,"tt30745951,tt3079910,tt0119184,tt0268924"
nm11047370,Low Charbur,,,actor,tt4940366
nm11047371,Wong Saiksing,,,actor,tt4940366
nm11047372,Jo Laureys,,,actor,"tt11182994,tt4940366"
nm11047373,Olivier Blanc,,,director,tt11098128
nm11047376,Gregory Bean,,,,
nm11047377,Sofia Sendra,,,archive_footage,tt5512352
nm11047378,Cathy Vieth,,,,tt5512352
nm11047379,Lindsay McCain,,,,tt5512352
nm1104738,Hamilkar Boskovic,1874.0,1947.0,producer,"tt0301368,tt0375981,tt0293404,tt0292991"
nm11047380,Cynthia Smoot,,,,tt5512352
nm11047381,DeVon Simba,,,,
nm11047382,Gustavo Briand,,,actor,"tt35681005,tt11098142"
nm11047383,Courtlyn Kaiser,,,make_up_department,tt11089776
nm11047384,Michele Bedin,,,miscellaneous,tt0057834
nm11047385,Margaret Lappinen,,,,
nm11047386,'Monster' Michael Todd,,,stunts,tt6111130
nm11047387,Robert Bernhard Wontroba,,,miscellaneous,tt0115088
nm11047388,Birte Ahrens,,,script_department,tt0115088
nm11047389,Peter Crome,,,art_department,"tt1684562,tt2316204,tt9203190"
nm1104739,Nicole Bosnich,1987.0,,actress,tt0168563
nm11047390,Melanie Nl,,,actress,tt11098182
nm11047391,Celine Michelle,,,actor,tt11098182
nm11047392,Nico Mallek,,,actor,tt11098182
nm11047393,Emeric Gratien Jacquot,,,"actor,special_effects","tt11186254,tt11098182"
nm11047394,Gallea Freyja,,,actor,"tt11098182,tt11573402"
nm11047395,Jean Luc Benoist,,,actor,tt11098182
nm11047396,Bob O'Brien,,,actor,
nm11047397,Henry Wolfson,,,sound_department,tt11092496
nm11047398,Evan Whaley,,,miscellaneous,tt11092496
nm11047399,Saksham,,,,
nm1104740,Merete Boström,1967.0,,"production_designer,art_director,costume_designer","tt5170828,tt9737876,tt7005636,tt13155644"
nm11047400,Samuel Bryant,,,actor,"tt21818188,tt10972276"
